washington-fs1,p1,p2,hello,opening:initGreeting
washington-fs2,p2,p1,hello,opening:returnGreeting
washington-fs3,p1,p2,uhm,turnTake:stalling
washington-fs4,p1,p2,good afternoon almost evening,initGreeting
washington-fs5,p1,p2,uhm,turnKeep:stalling
washington-fs6,p1,p2,what is your name,setQuestion
washington-fs7,p2,p1,my name is nikolina,setAnswer:initSelfIntroduction
washington-fs8,p1,p2,hello nikolina its nice to meet you,initGreeting
washington-fs9,p1,p2,nikolina,selfCorrection
washington-fs10,p2,p1,nice to meet you,returnGreeting
washington-fs11,p1,p2,uhm,turnTake:stalling
washington-fs12,p1,p2,so,stalling:interactionStructuring
washington-fs13,p1,p2,how are you doing today,setQuestion
washington-fs14,p2,p1,good,setAnswer
washington-fs15,p2,p1,thank you,thanking
washington-fs16,p1,p2,alright,autoPositive:turnTake
washington-fs17,p1,p2,alright so,interactionStructuring
washington-fs18,p1,p2,today we are going to play a game and here are the rules,
washington-fs19,p1,p2,im a very famous person,
washington-fs20,p1,p2,and you need to guess my name,
washington-fs21,p1,p2,you can ask whatever questions you want of me except for my name directly,
washington-fs22,p1,p2,uhm,turnKeep:stalling
washington-fs23,p1,p2,you have at most ten questions,
washington-fs24,p1,p2,and then you get to guess my name exactly once,
washington-fs25,p1,p2,so you can ask whatever questions you want,
washington-fs26,p1,p2,but then if you want to guess my name you only get one try,
washington-fs27,p1,p2,uhm,turnKeep:stalling
washington-fs28,p1,p2,if you get my name correct you win,
washington-fs29,p1,p2,if you get my name incorrect or choose to pass then you lose,
washington-fs30,p1,p2,uhm,turnKeep:stalling
washington-fs31,p1,p2,and then well move on to the next round,
washington-fs32,p1,p2,do you understand and are comfortable with the rules,
washington-fs33,p1,p2,uh,turnKeep:stalling
washington-fs34,p2,p1,yeah yeah,
washington-fs35,p2,p1,so the name is kind of a famous person yeah,checkQuestion
washington-fs36,p2,p1,yeah,feedbackElicitation
washington-fs37,p2,p1,okay,autoPositive
washington-fs38,p1,p2,yes,confirm
washington-fs39,p1,p2,i am a famous person and,
washington-fs40,p2,p1,im not sure how good am i in this area,inform
washington-fs41,p2,p1,im not sure,turnGrab
washington-fs42,p2,p1,i in this area,turnGrab
washington-fs43,p1,p2,and i am also always male,
washington-fs44,p2,p1,okay okay,autoPositive
washington-fs45,p2,p1,good,autoPositive
washington-fs46,p1,p2,alright,turnTake:interactionStructuring
washington-fs47,p1,p2,so uhm,turnKeep:stalling
washington-fs48,p1,p2,lets begin,
washington-fs49,p1,p2,and what is your first question,
washington-fs50,p1,p2,what is your first question,setQuestion
